AmountSaved,المبلغ المدخر
ScotApp_1232,توقيع مصدق
ScotApp_1568,المجموع الكلي:        %s
ScotApp_1800,اختر وضعية التشغيل 
ScotApp_1495,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1621,افتح علبة الأوراق النقدية
ScotApp_1346,الممر خارج الاتصال ويحاول النظام إعادة الاتصال.
ScotApp_72,72 غير مستخدمة
ScotApp_62,نعم
ScotApp_52,إلغاء القسائم
ScotApp_42,سلع ملغاة
ScotApp_32,هل تريد المتابعة
ScotApp_12,    الكمية %d بسعر %s لكل وحدة
ScotApp_1411,تغير في الكمية
ScotApp_92,أهلا بكم!
ScotApp_82,82 غير مستخدمة
ScotApp_1807,_ _ _
ScotApp_1089,فترة انتهاء التقرير
ScotApp_1620,افتح غطاء الأوراق النقدية
ScotApp_1345,يجري إنهاء المدير الأمني...
ScotApp_1819,أخطاء في متلقي جهاز تدوير القطع النقدية
ScotApp_762,762 غير مستخدمة
ScotApp_662,%
ScotApp_1554,المتلقي	
ScotApp_462,تم تحميل الموافقة عن بعد.
ScotApp_362,أدخل كلمة المرور
ScotApp_262,262 غير مستخدمة
ScotApp_162,امسح قسائمك وسلعك.
ScotApp_1410,تغير في السعر
ScotApp_962,"خذ السلعة الملغاة في الممر والمس ""الموافقة على الملغاة""."
ScotApp_862,إدخال قيمة القسيمة:
ScotApp_1806,"\n* المس ""بطاقات فقط"" لإنهاء العملية وأعط الباقي إلى العميل يدويا."
ScotApp_1088,1088 غير مستخدمة
ScotApp_1627,خطأ في جهاز إعادة تدوير النقود الورقية/المعدنية
ScotApp_741,741 غير مستخدمة
ScotApp_641, القيود     الموافقة    السجل    نوع التحمل     الموافقة    التاريخ
ScotApp_541,طباعة باركود مسح المشغل
ScotApp_441,تأكيد المبلغ
ScotApp_341,341 غير مستخدمة
ScotApp_241,خطأ غير متوقع في مدير الأجهزة
ScotApp_141,اختر نوع البطاقة
ScotApp_941,سلعة ملغاة
ScotApp_841,إدخال السلعة
ScotApp_1873,1873unused
ScotApp_25,تاريخ الميلاد:
ScotApp_720,720 غير مستخدمة
ScotApp_520,رمز السلعة غير معروف
ScotApp_420,420 غير مستخدمة
ScotApp_320,العودة
ScotApp_220,* افتح باب خزانة الطابعة.\n* ارفع غطاء الطابعة للتأكد من عدم وجود ورق عالق.\n* حمل لفافة ورق جديدة في الطابعة.\n* أقفل وأغلق باب خزانة الطابعة.
ScotApp_120,تم إلغاء العملية إزالة
ScotApp_1626,أدخل النقود للتعبئة أو اختر وظيفة أخرى.
ScotApp_1423,تحاول الماسحة الضوئية المحمولة الاتصال.
ScotApp_920,موافقة/ بدون تحديث.
ScotApp_820,الموافقة على الملغاة
ScotApp_1757,"لإضافة حركة، المس مفتاح ""الحركات"" في أسفل الشاشة ثم اطبع الحرف."
ScotApp_1872,1872unused
ScotApp_754,ملخص الأيام السبعة الماضية
ScotApp_554,لا تمسح بطاقات الدفع في الوقت الحالي.
ScotApp_1613,رفض الصندوق
ScotApp_354,وظائف النظام
ScotApp_254,صراف النقود المعدنية غير قابل للتشغيل.
ScotApp_154,التحميل جار...
ScotApp_1769,إدخال الرمز
ScotApp_1240,نقد
ScotApp_954,فشل في فتح الميزان الذكي
ScotApp_854,خمس سلع
ScotApp_1547,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1403,توقف وأعد تشغيل برنامج NCR SelfServ Checkout. إذا ظل الخطأ قائما اتصل بمكتب المساعدة.
ScotApp_545,سلعة خاضعة لقيود
ScotApp_1559,خروج    
ScotApp_1871,%s %s الملاحظ
ScotApp_1612,إدارة البطاقات
ScotApp_1550,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_845,مسح السلع الإضافية:
ScotApp_1564,أدخل تعداد التحميل لـ%s
ScotApp_1768,وحدة وزن غير مطابقة.
ScotApp_1272,محدد من قبل المستخدم14
ScotApp_1546,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_74,الموافقة على الملغاة
ScotApp_64,إلغاء المختارة
ScotApp_54,إلغاء
ScotApp_44,44 غير مستخدمة
ScotApp_34,34 غير مستخدمة
ScotApp_1558,الخروج والحفظ
ScotApp_14,14 غير مستخدمة
ScotApp_1870,%s %s المتوقع
ScotApp_1389,خطأ في آلة التقاط التوقيع
ScotApp_1611,          رفض أن الصندوق ممتلئ
ScotApp_94,94 غير مستخدمة
ScotApp_84,خيارات التحميل
ScotApp_1289,ب - ج
ScotApp_687,طباعة التقرير
ScotApp_587,الإمضاء
ScotApp_487,إلى الأسفل
ScotApp_387,انسداد في الناقل
ScotApp_287,الماسحة الضوئية: بطاقة غير صحيحة
ScotApp_1545,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1336,المرفق
ScotApp_987,تمت إزالة السلعة عن الحزام. أعد السلعة.
ScotApp_887,تمت إزالة السلعة
ScotApp_555,الدفع بطريقة أخرى
ScotApp_1610,          رفض أن الصندوق شبه ممتلئ (%s)  
ScotApp_1041,الموافقة على التوقيع
ScotApp_1691,إدارة النقود
ScotApp_1809,أخطاء في صراف جهاز تدوير القطع النقدية
ScotApp_1288,أ
ScotApp_761,761 غير مستخدمة
ScotApp_1193,تم التعرف على الهوية
ScotApp_561,ضع القسيمة جانبا
ScotApp_461,يجري تحميل الموافقة عن بعد...
ScotApp_361,الممر مغلق
ScotApp_261,261 غير مستخدمة
ScotApp_961,"خطأ في قاعدة بيانات اكتشاف الوزن: افحص مستعرض الأحداث للتأكد من عدم وجود أخطاء، ثم المس ""حللت المشكلة""."
ScotApp_861,861 غير مستخدمة
ScotApp_1876,%s %s الملاحظ
ScotApp_740,740 غير مستخدمة
ScotApp_640,قيود أوزان WLDB الحالية
ScotApp_540,540 غير مستخدمة
ScotApp_340,اختر السلعة من القائمة. استخدم أزرار الأسهم للتنقل إلى الأعلى والأسفل.
ScotApp_240,عطل عام في مدير الأجهزة
ScotApp_140,شكرا لك
ScotApp_1105,0.005 kg الأقصى 13.995 kg الأدنى 0.1 kg أقصى عدد 2799
ScotApp_1192,رسوم التركيب
ScotApp_940,ملغاة
ScotApp_840,إدخال السلعة:
ScotApp_1863,"المِس ""قبول"" أو ""إلغاء السلعة"""
ScotApp_1463,تغير في القيمة
ScotApp_1875,%s %s المتوقع
ScotApp_774,النقاط المكتسبة:
ScotApp_674,"""""سبب رفض العرض: "" """
ScotApp_780,780 غير مستخدمة
ScotApp_474,474 غير مستخدمة
ScotApp_374,خطأ في علامات الطابعة
ScotApp_174,تعذر العثور على السلعة الممسوحة. لم يتم شراؤها بعد، أو تم إلغاؤها.
ScotApp_1029,أدخل القسيمة
ScotApp_974,974 غير مستخدمة
ScotApp_1679,خطأ في مكتبة الأوراق النقدية
ScotApp_1747,خطأ في قارئ بصمة الإصبع
ScotApp_1862,تحقق من السلعة على ميزان الماسحة
ScotApp_1603,          صندوق صراف البطاقات عادي
ScotApp_1419,متعدد الأغلفة
ScotApp_1759,صندوق القسائم ممتلئ
ScotApp_649,تم ترسيخ السعر
ScotApp_1039,السلع السابقة تحمل بطاقات أمنية.
ScotApp_849,الكمية المطلوبة
ScotApp_765,765 غير مستخدمة
ScotApp_565,تسجيل الدخول في المتجر
ScotApp_1549,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1861,قائمة الاختيار
ScotApp_1731,يجري تحميل صور قائمة الاختيار...
ScotApp_76,76 غير مستخدمة
ScotApp_66,66 غير مستخدمة
ScotApp_56,إلغاء الدفع
ScotApp_46,تعليمات
ScotApp_36,تم رد:
ScotApp_26,26 غير مستخدمة
ScotApp_16,سيتم تقاضي %s من بطاقتك.
ScotApp_719,719 غير مستخدمة
ScotApp_619,اختر<اطبع التحمل> أو <تلقائي> لتعديل التحمل الحالي.
ScotApp_519,القسيمة مرتفعة أكثر مما ينبغي
ScotApp_419,419 غير مستخدمة
ScotApp_319,ادفع بالبطاقة
ScotApp_219,219 غير مستخدمة
ScotApp_119,إلغاء جميع السلع
ScotApp_96,96 غير مستخدمة
ScotApp_86,86 غير مستخدمة
ScotApp_1755,اختر من القائمة
ScotApp_1038,تأكيد التوقيع
ScotApp_919,"أكد وزن السلعة والمس ""موافقة & تحديث الوزن"" أو المس ""موافقة/بدون تحديث""."
ScotApp_1489,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1745,جهاز بصمة الإصبع مفصول. \n\nنرجو المحاولة مجددا.
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,محدد من قبل المستخدم10
ScotApp_1008,1008 غير مستخدمة
ScotApp_786,معلق في الممر
ScotApp_686,الأمس
ScotApp_586,القسائم: %0.0ld/$%0.2lf
ScotApp_486,إلى الأعلى
ScotApp_386,تمت إزالة العلبة
ScotApp_286,الماسحة الضوئية: سابقة البطاقة2 غير صحيحة
ScotApp_186,186 غير مستخدمة
ScotApp_1488,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_986,986 غير مستخدمة
ScotApp_886,تمت إزالة السلعة من منطقة التعبئة في الأكياس.\nأعد السلعة.
ScotApp_1393,توقف وأعد تشغيل برنامج NCR SelfServ Checkout. إذا استمر الخطأ، اتصل بمكتب المساعدة.
ScotApp_1867,مرأى الكاميرا محجوب
ScotApp_68,68 غير مستخدمة
ScotApp_38,38 غير مستخدمة
ScotApp_28,إلغاء الشراء
ScotApp_1024,1024 غير مستخدمة
ScotApp_760,مرر بطاقتك عبر جانب هذه الشاشة.
ScotApp_660,جميع مستويات العملة عادية
ScotApp_460,بهذا تتم عملية الشراء.
ScotApp_360,إغلاق الممر
ScotApp_260,260 غير مستخدمة
ScotApp_1392,خطأ في Tri-Light
ScotApp_960,"خلل في ميزان الأكياس: افحص ميزان الأكياس أو مستعرض الأحداث للتأكد من عدم وجود أخطاء، ثم المس ""حللت المشكلة""."
ScotApp_860,القياس المطلوب:
ScotApp_1866,أكثر رواجاً
ScotApp_1459,تقرير إدارة النقود
ScotApp_1239,لا يوجد
ScotApp_1301,تعديل قائمة الاختيار
ScotApp_1749,تجري معالجة بصمة الإصبع
ScotApp_1017,أزل السلع المتراكمة عند الحزام.
ScotApp_1771,حد قيمة القسيمة
ScotApp_739,739 غير مستخدمة
ScotApp_639,الوزن متوقع    مقارنة الأوزان
ScotApp_539,539 غير مستخدمة
ScotApp_439,439 غير مستخدمة
ScotApp_339,339 غير مستخدمة
ScotApp_239,حالة مدير الأجهزة غير متوقعة
ScotApp_1092,إعداد تقرير عن المحتوى
ScotApp_1851,Do Not Approve  
ScotApp_1238,دفع بطريقة أخرى
ScotApp_939,انتهاء مدة الموقت
ScotApp_839,إلغاء الإجراء
ScotApp_1333,محو
ScotApp_24,ملغاة
ScotApp_1016,سلع متراكمة عند الحزام
ScotApp_1615,المس زر استلام الصراف للتفريغ
ScotApp_1723,تدريب Trx
ScotApp_1028,تم تجاوز حد القسيمة
ScotApp_1435,خطأ في صراف النقود المعدنية/الورقية
ScotApp_1698,"المس ""تم تصحيح الحالة""."
ScotApp_1688,خطأ في العلبة
ScotApp_454,454 غير مستخدمة
ScotApp_1593,أزل قطع النقود المعدنية
ScotApp_1642,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_1015,سلع متراكمة
ScotApp_785,785 غير مستخدمة
ScotApp_685,في الساعة
ScotApp_585,585 غير مستخدمة
ScotApp_536,متلقي النقود المعدنية
ScotApp_385,385 غير مستخدمة
ScotApp_285,الماسحة الضوئية: لاحقة بطاقة غير صحيحة
ScotApp_185,قارن توقيع العميل بالتوقيع على البطاقة.
ScotApp_1224,السعر مطلوب
ScotApp_985,ضع السلعة على الحزام.
ScotApp_885,التنبيه على التعبئة في أكياس
ScotApp_575,إنهاء العرض النقدي.  الرصيد المستحق.
ScotApp_475,تعليق العملية
ScotApp_375,نفد وقت الطباعة
ScotApp_1002,لا يوجد خصم
ScotApp_1888,"راقب معاملة الزبون أمنيّاً والمِس ""وافق أمنيّاً""."
ScotApp_910,910 غير مستخدمة
ScotApp_1592,أزل النقود المعدنية من الصندوق المزدحم. قم بتمييل الصندوق. أدر البرغي إلى الأيمن حتى تتمكن من إزالة النقود المعدنية. لا تستخدم القوة.
ScotApp_875,هوية المحاسب الرئيسي لإلغاء عملية الشراء
